name,email,password,authority,status
test01,test01@yorku.ca,123,1,0
test02,test02@yorku.ca,123,1,0
test00,testAuto2@yorku.ca,121,1,0
test00,testAuto3@yorku.ca,121,1,0
test00,testAuto4@yorku.ca,121,1,0
test00,testAuto5@yorku.ca,121,1,0
test00,testAuto6@yorku.ca,121,1,0
test00,testAuto7@yorku.ca,121,1,0
test00,testAuto8@yorku.ca,121,1,0
test00,testAuto9@yorku.ca,121,1,0
test00,testAuto10@yorku.ca,121,1,0
test00,testAuto11@yorku.ca,121,1,0
test00,testAuto12@yorku.ca,121,1,0
test00,testAuto13@yorku.ca,121,1,0
test00,testAuto14@yorku.ca,121,1,0
test00,testAuto15@yorku.ca,121,1,0
test00,testAuto16@yorku.ca,121,1,0
test00,testAuto17@yorku.ca,121,1,0
test00,testAuto18@yorku.ca,121,1,0
test00,testAuto19@yorku.ca,121,1,0
test00,testAuto20@yorku.ca,121,1,0
test00,testAuto21@yorku.ca,121,1,0
test00,testAuto22@yorku.ca,121,1,0
test00,testAuto23@yorku.ca,121,1,0
test00,testAuto24@yorku.ca,121,1,0
test00,testAuto25@yorku.ca,121,1,0
test00,testAuto26@yorku.ca,121,1,0
test00,testAuto27@yorku.ca,121,1,0
test00,testAuto28@yorku.ca,121,1,0
test00,testAuto29@yorku.ca,121,1,0
test00,testAuto30@yorku.ca,121,1,0
test00,testAuto31@yorku.ca,121,1,0
test00,testAuto33@yorku.ca,121,1,0
test00,testAuto34@yorku.ca,121,1,0
test00,testAuto35@yorku.ca,121,1,0
test00,testAuto36@yorku.ca,121,1,0
test00,testAuto37@yorku.ca,121,1,0
